client_id,client_name,industry,country
1,"Rodriguez, Figueroa and Sanchez",Insurance,South Africa
2,Doyle Ltd,Education,United Kingdom
3,"Mcclain, Miller and Henderson",Healthcare,United Kingdom
4,Davis and Sons,Insurance,Australia
5,"Guzman, Hoffman and Baldwin",Insurance,Australia
6,"Gardner, Robinson and Lawrence",Technology,South Africa
7,Blake and Sons,Banking,South Africa
8,"Henderson, Ramirez and Lewis",Healthcare,United Kingdom
9,Garcia-James,Banking,Australia
10,Abbott-Munoz,Healthcare,Australia
11,Blair PLC,Technology,United Kingdom
12,Dudley Group,Logistics,Australia
13,Arnold Ltd,Education,South Africa
14,"Mcclure, Ward and Lee",Retail,Germany
15,Williams and Sons,Manufacturing,United States
16,Galloway-Wyatt,Retail,United Kingdom
17,James Group,Manufacturing,South Africa
18,"Flowers, Martin and Kelly",Insurance,Germany
19,"Adams, Zuniga and Wong",Insurance,United States
20,"Reid, Ferguson and Sanchez",Manufacturing,Australia
21,Gray-Mayo,Education,South Africa
22,"Watts, Robinson and Nguyen",Logistics,Australia
23,Perez Inc,Insurance,Germany
24,Morales-Jones,Insurance,Australia
25,"Walter, Edwards and Rios",Education,Australia
26,Wilkerson-Day,Manufacturing,Australia
27,Baker and Sons,Healthcare,South Africa
28,"Hoffman, Baker and Richards",Banking,United Kingdom
29,"Ross, Robinson and Bright",Education,South Africa
30,"Snyder, Campos and Callahan",Healthcare,South Africa
31,Burton Ltd,Technology,United States
32,Carlson-Cruz,Logistics,United States
33,"Ferrell, Rice and Maddox",Retail,United States
34,Frazier Inc,Manufacturing,United Kingdom
35,"Dyer, Potter and Mack",Education,South Africa
36,Rodriguez-Graham,Retail,Australia
37,Smith-Bowen,Healthcare,United Kingdom
38,"Baker, Mason and White",Logistics,Germany
39,Harrell LLC,Education,Australia
40,"Romero, Gonzalez and Brooks",Healthcare,United States
41,Ryan PLC,Banking,United Kingdom
42,George Group,Banking,United States
43,Rodriguez LLC,Technology,United States
44,Allen-Allen,Insurance,United Kingdom
45,"Arroyo, Miller and Tucker",Manufacturing,United Kingdom
46,Spence PLC,Logistics,Germany
47,Anderson Group,Logistics,United Kingdom
48,"Martin, Rose and Obrien",Education,United Kingdom
49,Hickman Ltd,Healthcare,Australia
50,"Harris, Collins and Carney",Education,Australia
